speaker	gender	file	t	word	vowel	stress	duration	f1	f2	f3	f0
falk0	female	sa1	0.3175	SHE	IY	1	0.0900	489.1	2645.3	3233.4	242.7
falk0	female	sa1	0.4625	HAD	AE	1	0.0600	588.3	2403.6	3233.7	224.8
falk0	female	sa1	0.6275	YOUR	UH	1	0.0500	583.1	2125.0	2476.6	171.9
falk0	female	sa1	0.7975	DARK	AA	1	0.0900	852.1	1613.6	2232.3	169.7
falk0	female	sa1	1.1775	SUIT	UW	1	0.0900	390.9	2123.2	3008.9	193.7
falk0	female	sa1	1.3225	IN	IH	1	0.0800	449.5	2471.6	3196.3	184.7
falk0	female	sa1	1.6075	GREASY	IY	1	0.1100	417.3	2649.4	3164.3	200.8
falk0	female	sa1	1.8025	GREASY	IY	0	0.1000	386.2	1516.7	2976.8	192.2
falk0	female	sa1	2.0025	WASH	AA	1	0.0400	694.4	1571.4	2501.8	179.6
falk0	female	sa1	2.2775	WATER	AO	1	0.0900	757.8	1416.1	2433.9	158.3
falk0	female	sa1	2.4225	WATER	ER	0	0.1200	699.8	1467.2	1919.5	0.0
falk0	female	sa1	2.5375	ALL	AO	1	0.1100	797.6	1130.7	2613.7	165.0
falk0	female	sa1	2.9275	YEAR	IH	1	0.0500	536.1	1714.3	2116.7	150.0
falk0	female	sa2	0.3625	DON'T	OW	1	0.1200	709.1	1203.4	3159.4	227.7
falk0	female	sa2	0.5425	ASK	AE	1	0.1600	767.7	2322.8	3051.3	191.1
falk0	female	sa2	0.8775	ME	IY	1	0.0900	370.2	2651.0	3291.3	173.1
falk0	female	sa2	0.9975	TO	AH	0	0.0900	443.6	2354.2	3068.0	0.0
falk0	female	sa2	1.2025	CARRY	AE	1	0.0600	583.0	1890.8	2283.9	193.3
falk0	female	sa2	1.3725	CARRY	IY	0	0.1200	569.9	2554.6	3149.4	173.5
falk0	female	sa2	1.4475	AN	AE	1	0.0300	627.3	2025.3	2973.1	160.6
falk0	female	sa2	1.6275	OILY	OY	1	0.1300	726.6	1421.9	2763.5	181.7
falk0	female	sa2	1.8175	OILY	IY	0	0.1100	543.3	2335.2	2731.0	163.4
falk0	female	sa2	2.0525	RAG	AE	1	0.1400	696.4	2250.3	3066.3	161.9
falk0	female	sa2	2.3325	LIKE	AY	1	0.1200	812.0	1972.4	3025.5	146.7
falk0	female	sa2	2.6675	THAT	AE	1	0.2100	722.4	2116.5	2903.2	136.5
falk0	female	si1086	0.6825	THEN	EH	1	0.0800	670.0	2108.4	3136.5	206.7
falk0	female	si1086	0.8325	THE	AH	0	0.0400	408.8	2033.2	2919.6	242.9
falk0	female	si1086	1.0075	CHOREOGRAPHER	AO	2	0.0500	700.3	1104.8	2049.1	233.9
falk0	female	si1086	1.1325	CHOREOGRAPHER	IY	0	0.0800	580.4	2257.9	2872.2	221.8
falk0	female	si1086	1.2475	CHOREOGRAPHER	AA	1	0.1500	909.4	1547.0	2369.6	176.8
falk0	female	si1086	1.4175	CHOREOGRAPHER	AH	0	0.0700	568.4	1454.9	2017.3	191.6
falk0	female	si1086	1.6325	CHOREOGRAPHER	ER	0	0.1200	501.3	1472.2	1816.8	170.4
falk0	female	si1086	1.8175	MUST	AH	1	0.0500	687.2	1823.5	2896.2	181.9
falk0	female	si1086	2.0625	ARBITRATE	AA	1	0.1600	839.2	1438.4	2180.9	195.3
falk0	female	si1086	2.2475	ARBITRATE	AH	0	0.0500	563.5	1988.5	2994.3	170.5
falk0	female	si1086	2.5325	ARBITRATE	EY	2	0.1400	449.0	2561.5	3207.8	127.8
falk0	female	si456	0.2475	TWO	UW	1	0.1100	468.7	1427.1	3000.5	246.5
falk0	female	si456	0.3775	OTHER	AH	1	0.1500	829.7	1733.7	2858.9	169.5
falk0	female	si456	0.5275	OTHER	ER	0	0.0500	578.5	1975.6	2277.5	207.8
falk0	female	si456	0.7325	CASES	EY	1	0.1000	620.5	2549.2	3096.8	179.6
falk0	female	si456	0.9275	CASES	AH	0	0.0500	556.7	1919.6	2893.3	159.4
falk0	female	si456	1.2225	ALSO	AO	1	0.1800	838.9	1216.8	2668.6	182.5
falk0	female	si456	1.4925	ALSO	OW	0	0.1000	549.8	1334.1	3468.3	169.1
falk0	female	si456	1.6525	WERE	ER	1	0.1000	650.6	1487.4	1919.3	108.3
falk0	female	si456	1.7475	UNDER	AH	1	0.0900	802.9	1790.1	3020.6	167.9
falk0	female	si456	1.9225	UNDER	ER	0	0.0600	500.5	1973.4	2318.7	165.3
falk0	female	si456	1.9825	ADVISEMENT	AH	0	0.0600	456.5	2072.0	3073.5	158.9
falk0	female	si456	2.2375	ADVISEMENT	AY	1	0.1900	842.2	1920.7	2938.7	152.5
falk0	female	si456	2.5375	ADVISEMENT	AH	0	0.0300	675.3	1845.7	3026.4	130.4
falk0	female	si658	0.6125	THE	AH	0	0.0400	527.5	2002.3	2961.5	193.0
falk0	female	si658	0.9225	STRAIGHT	EY	1	0.1200	601.2	2540.7	3195.2	292.3
falk0	female	si658	1.1625	LINE	AY	1	0.1600	949.5	1812.1	3010.8	195.2
falk0	female	si658	1.3825	WOULD	UH	1	0.0400	386.5	1847.4	2950.5	179.0
falk0	female	si658	1.6175	SYMBOLIZE	IH	1	0.0500	676.8	1795.3	3026.6	225.3
falk0	female	si658	1.7475	SYMBOLIZE	AH	0	0.0300	693.4	2018.7	3070.3	230.3
falk0	female	si658	1.9275	SYMBOLIZE	AY	2	0.1500	867.3	1895.7	2946.5	191.7
